learning_rate,temperature,hidden_dim,n_heads,entropy_lambda,contrastive_lambda,sharpness_lambda,gate_lambda,trial_idx,auprc,trial
0.00015391114158383982,0.15,256,8,0.0139,0.051,0.0049,0.0155,1,0.463380655578798,1
0.00031225237961841906,0.1,256,8,0.0121,0.0546,0.0058,0.0174,4,0.574916993910802,4
0.0002614695228380644,0.06,512,8,0.0131,0.0468,0.0046,0.0163,3,0.5620942086093015,3
0.00011416350220220049,0.11,512,8,0.0107,0.0467,0.0056,0.0154,2,0.44191406360524005,2
0.00024655634048555315,0.11,256,8,0.0146,0.047,0.006,0.0186,5,0.540044796033573,5
0.00011395784710657788,0.15,256,8,0.0141,0.0487,0.006,0.0197,6,0.536248309868666,6
0.00014141068562180422,0.07,256,8,0.011,0.0526,0.0046,0.0152,8,0.4803821354227701,8
0.00010203405239171238,0.14,512,8,0.0135,0.0461,0.0059,0.017,7,0.47546827112229584,7
0.00017672615259080578,0.07,512,8,0.013,0.0452,0.0043,0.0198,9,0.5438705981411089,9
0.00021770364865007538,0.05,512,8,0.0147,0.0505,0.0059,0.0176,10,0.4851365507557458,10
0.00025796166437611583,0.05,512,8,0.0121,0.0533,0.0053,0.0174,11,0.6209406053755899,11
0.00026505207200321827,0.11,512,8,0.0102,0.0527,0.0054,0.0173,12,0.5729582356497991,12
0.00031052453868769873,0.08,256,8,0.0121,0.051,0.0044,0.0163,15,0.5691248626387944,15
0.00016221517655411042,0.09,512,8,0.015,0.0474,0.0044,0.0162,13,0.534316440067214,13
0.00011131511603039757,0.15,512,8,0.0112,0.0548,0.0054,0.0176,14,0.42731865507213806,14
0.00011057955081287198,0.07,512,8,0.0149,0.052,0.0056,0.0197,16,0.462727407682903,16
0.00015224841901628026,0.1,256,8,0.0148,0.0547,0.0051,0.016,17,0.4183089084404873,17
0.00028974607247422976,0.07,512,8,0.0149,0.049,0.0054,0.0197,18,0.5404657189216012,18
0.00014139585065639328,0.07,512,8,0.0132,0.0524,0.0055,0.0177,19,0.6475917905910166,19
0.0002583656290170613,0.07,512,8,0.0127,0.0499,0.0051,0.0162,20,0.6124447940547011,20
0.00010396265337730874,0.1,512,8,0.0123,0.0521,0.0058,0.0164,21,0.5492888486928734,21
0.00018922151322027546,0.09,256,8,0.0104,0.0532,0.0055,0.0189,22,0.5392604912573953,22
0.00015472099964961643,0.11,256,8,0.0143,0.0482,0.0052,0.0193,23,0.49975723214693807,23
0.00012862415215783576,0.05,512,8,0.0119,0.0492,0.0051,0.0182,24,0.5185083493074979,24
0.00011943834833260571,0.06,256,8,0.0112,0.0483,0.0058,0.0196,25,0.5699698108908635,25
0.00013479870965144182,0.05,256,8,0.0107,0.0504,0.0041,0.0168,27,0.5208253279944457,27
0.00018746738221679394,0.14,512,8,0.0131,0.0534,0.0056,0.0157,26,0.5530341172988231,26
0.00014064509179329297,0.13,256,8,0.0108,0.0536,0.0043,0.0164,28,0.5479582246242464,28
0.00029089768782544306,0.14,256,8,0.0106,0.0467,0.0057,0.0152,29,0.49850629540451524,29
0.00012381909842153872,0.09,256,8,0.0136,0.0467,0.0055,0.016,30,0.47000437428069003,30
0.000113075652140144,0.12,512,8,0.0104,0.0515,0.004,0.0182,31,0.49180029307351286,31
0.0002095776459466566,0.1,256,8,0.0109,0.0502,0.0046,0.0154,32,0.5270558382535937,32
0.000126212144708336,0.13,256,8,0.0105,0.0505,0.0054,0.0192,33,0.46424193969085614,33
0.00019251745420528782,0.06,256,8,0.0116,0.0486,0.0051,0.0174,34,0.5389749477675174,34
0.00014302596935839086,0.13,256,8,0.0136,0.0486,0.0057,0.0178,35,0.4378374767074457,35
0.00028810746811727233,0.11,512,8,0.0102,0.0531,0.0047,0.0194,36,0.557824323509308,36
0.00017796478045679125,0.1,256,8,0.0141,0.0493,0.0057,0.0159,38,0.5479535737740072,38
0.0001823718729250336,0.12,256,8,0.0108,0.053,0.0058,0.0187,39,0.5243453134842453,39
0.00010570380328274281,0.12,512,8,0.013,0.0483,0.0055,0.02,37,0.5254417389885656,37
0.00015055998364357467,0.08,512,8,0.0133,0.054,0.0042,0.0151,40,0.5675692930220794,40
